Salario;0 Filhos;1 Filhos;2 Filhos;3 Filhos;4 Filhos;5 Filhos ou mais
659,00 €;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
686,00 €;0,10%;0,00%;0,00%;0,00%;0,00%;0,00%
718,00 €;4,20%;1,30%;0,90%;0,40%;0,00%;0,00%
739,00 €;7,30%;4,40%;2,60%;0,70%;0,00%;0,00%
814,00 €;8,20%;5,30%;3,50%;2,60%;0,70%;0,00%
922,00 €;10,40%;7,60%;6,70%;3,90%;3,20%;1,30%
1 005,00 €;11,60%;8,90%;8,10%;5,30%;4,50%;3,20%
1 065,00 €;12,40%;9,80%;8,90%;6,20%;4,90%;4,00%
1 143,00 €;13,50%;11,70%;10,90%;8,20%;7,30%;5,50%
1 225,00 €;14,50%;12,80%;11,80%;9,20%;8,30%;6,50%
1 321,00 €;15,60%;14,80%;13,00%;11,00%;9,30%;8,40%
1 424,00 €;16,60%;15,80%;14,00%;12,20%;10,30%;9,50%
1 562,00 €;17,70%;16,90%;15,00%;13,20%;11,40%;10,50%
1 711,00 €;19,10%;18,30%;16,60%;14,70%;13,80%;12,00%
1 870,00 €;20,50%;19,90%;18,20%;16,50%;15,70%;13,90%
1 977,00 €;21,50%;21,00%;19,10%;17,40%;16,60%;14,90%
2 090,00 €;22,50%;22,00%;20,20%;18,30%;17,60%;16,80%
2 218,00 €;23,50%;23,00%;21,30%;19,50%;18,50%;17,90%
2 367,00 €;24,50%;24,10%;23,30%;20,50%;19,70%;18,80%
2 535,00 €;25,50%;25,10%;24,30%;21,60%;20,80%;20,00%
2 767,00 €;26,50%;26,00%;25,30%;22,60%;21,80%;21,00%
3 104,00 €;27,80%;27,30%;26,50%;23,80%;23,00%;22,20%
3 534,00 €;29,40%;29,30%;28,90%;26,50%;26,10%;25,70%
4 118,00 €;30,50%;30,50%;29,90%;28,50%;27,10%;26,70%
4 650,00 €;32,30%;32,00%;31,60%;29,90%;28,60%;28,20%
5 194,00 €;33,30%;33,00%;32,60%;31,20%;30,50%;29,20%
5 880,00 €;34,30%;34,00%;33,60%;32,20%;31,80%;30,10%
6 727,00 €;36,30%;36,10%;35,50%;34,80%;34,60%;34,40%
7 939,00 €;37,30%;37,10%;36,90%;35,80%;35,60%;35,40%
9 560,00 €;39,30%;39,10%;38,90%;37,80%;37,60%;37,40%
11 282,00 €;40,30%;40,10%;39,90%;39,20%;38,60%;38,40%
18 854,00 €;41,30%;41,10%;40,90%;40,20%;40,00%;39,40%
20 221,00 €;42,30%;42,10%;41,90%;41,20%;41,00%;40,40%
22 749,00 €;43,10%;43,10%;42,90%;42,20%;42,00%;41,60%
25 276,00 €;44,10%;44,10%;43,90%;43,20%;43,00%;42,80%
25 276,00 €;45,10%;45,10%;44,90%;44,20%;44,00%;43,80%
